Original_Serovar,curated_serovar,variant,other_serovar_info
Chicago,Chicago,,
Chincol,Chincol,,
Chingola,Chingola,,
Cholerae-suis,Choleraesuis,,
Choleraesuis,Choleraesuis,,
Choleraesuis var. Kunzendorf,Choleraesuis,Kunzendorf,
CHOLERAESUIS VAR.KUNZENDORF,Choleraesuis,Kunzendorf,
Claibornei,Claibornei,,
Coeln,Coeln,,
Coleypark,Coleypark,,
Colindale,Colindale,,
Colobane,Colobane,,
Concord,Concord,,
Corvalis,Corvallis,,
Corvallis,Corvallis,,
Cotham,Cotham,,
Cremieu,Cremieu,,
Cubana,Cubana,,
Curacao,Curacao,,
Decateur,Choleraesuis,Decatur,
Degania,"II 40:z4,z24:z39",,Degania
Denver,Denver,,
derby,Derby,,
Deversoir,Deversoir,,
Djibouti,Djibouti,,
Djugu,Djugu,,
Dortmund,Dortmund,,
Drypool,Amsterdam,15+,
Dublin,Dublin,,
Duesseldorf,Duesseldorf,,
Duisberg,Duisburg,,
Duisburg,Duisburg,,
Dunkwa,Dunkwa,,
Durban,Durban,,
Durham,Durham,,
Ealing,Ealing,,
Eastbourne,Eastbourne,,
Ebrie,Ebrie,,
Ede,Ede,,
Edinburg,Edinburg,,
Eimsbuettel,Livingstone,14+,
Eko,Eko,,
Elisabethville,Elisabethville,,
Elizabethville,Elisabethville,,
Emek,Emek,,
Enteriditis,Enteritidis,,
enteritidis,Enteritidis,,
Enteritidis atypical,Enteritidis,,atypical
Enteritidis atypical,Enteritidis,,
Eschberg,Eschberg,,
Essen,Essen,,
Euston,Euston,,
Everleigh,Everleigh,,
Falkensee,Falkensee,,
Fanti,Fanti,,
Farmsen,Farmsen,,
Ferrush,Ferruch,,
Finchley,"II 3,10:z:e,n,x",,Finchley
Finkenwerder,Finkenwerder,,
Fischerstrasse,Fischerstrasse,,
Florida,Florida,,
Fluntern,Fluntern,,
Freetown,Freetown,,
Freiburg,Freiburg,,
Fresno,Fresno,,
Fulda,Fulda,,
Fulica,Fulica,,
Gafsa,Gafsa,,
Gaillac,Gaillac,,
Galiema,Galiema,,
Gallinarum,Gallinarum,,
Gamaba,Gamaba,,
Gaminara,Gaminara,,
Gateshead,Gateshead,,
Gatow,Gatow,,
Gera,Gera,,
Give,Give,,
Give var. O 15+ (Newbrunswick),Give,15+,Newbrunswick
Giza,Giza,,
Glostrup,Glostrup,,
Goelzau,Goelzau,,
Goerlitz,Vejle,15+,Goerlitz
Gold-coast,Goldcoast,,
Goldcoast,Goldcoast,,
Gombe,Gombe,,
Goulfey,Goulfey,,
Goverdhan,Goverdhan,,
Gozo,Gozo,,
Grancanaria,Grancanaria,,
Grumpensis,Grumpensis,,
Haardt,Haardt,,
Hadar,Hadar,,
Haduna,Haduna,,
Haifa,Haifa,,
Harmelen,"IV 51:z4,z23:-",,Harmelen
Harrisonburg,Harrisonburg,,
Hartford,Hartford,,
Hato,Hato,,
Havana,Havana,,
Heidelberg,Heidelberg,,
Heidelberg (H2Sneg),Heidelberg,,H2Sneg
Hermannswerder,Hermannswerder,,
Herston,Herston,,
Hidalgo,Hidalgo,,
Hiduddify,Hiduddify,,
Hillingdon,Hillingdon,,
Hindmarsh,Hindmarsh,,
Hofit,Hofit,,
Holcomb,Holcomb,,
Huddinge,Huddinge,,
Hull,Hull,,
Huvudsta,Huvudsta,,
Hvittingfoss,Hvittingfoss,,
"I  3,10:-:1,5","I  3,10:-:1,5",,
"I  6,7:y:1,2,5","I  6,7:y:1,2,5",,
"I 1,3,19:z10:1,5 (Yenne)","I 1,3,19:z10:1,5",,Yenne
I 11:c:-,I 11:c:-,,
"I 13,22:z:-","I 13,22:z:-",,
"I 13,23:b:-","I 13,23:b:-",,
I 16:d:-,I 16:d:-,,
"I 17:g,t:-","I 17:g,t:-",,
"I 18:k:1,7","I 18:k:1,7",,
"I 3,10,15:i:1,2","I 3,10,15:i:1,2",,
"I 3,10:e,h:-","I 3,10:e,h:-",,
"I 3,10:nonmotile","I 3,10:-:-",,
"I 3,15,34:d:-","I 3,15,34:d:-",,
"I 3,15:e,h:-","I 3,15:e,h:-",,
"I 3,19:-","I 3,19:-",,
"I 3,19:-:-","I 3,19:-:-",,
I 39:b:-,I 39:b:-,,
"I 4,[5],12:b:-","I 4,[5],12:b:-",,
"I 4,[5],12:b:- L(+) tartrate +","I 4,[5],12:b:-",Java,L(+) tartrate +
"I 4,[5],12:d:-","I 4,[5],12:d:-",,
"I 4,[5],12:e,h:-","I 4,[5],12:e,h:-",,
"I 4,[5],12:i:-","I 4,[5],12:i:-",,
"I 4,[5],12:r:-","I 4,[5],12:r:-",,
"I 4,12:1:-","I 4,12:1:-",,
"I 4,12:d: -","I 4,12:d: -",,
"I 4,12:d:-","I 4,12:d:-",,
"I 4,12:i: -","I 4,12:i: -",,
"I 4,12:i:-","I 4,12:i:-",,
"I 4,12:nonmotile","I 4,12:-:-",,
"I 4,12:r:-","I 4,12:r:-",,
"I 4,5,12: i : -","I 4,5,12: i : -",,
"I 4,5,12:-:1,2","I 4,5,12:-:1,2",,
"I 4,5,12:d:-","I 4,5,12:d:-",,
"I 4,5,12:i-","I 4,[5],12:i:-",,
"I 4,5,12:i:-","I 4,[5],12:i:-",,
"I 4,5,12:nonmotile","I 4,5,12:-:-",,
"I 4,5,12:r:-","I 4,[5],12:r:-",,
I 42:,I 42:-:-,,
"I 47:z4,z23:-","I 47:z4,z23:-",,
"I 6,14,19:y:1,7","I 6,14,19:y:1,7",,
"I 6,14,25:b:1,6","I 6,14,25:b:1,6",,
"I 6,14,25:b:e,n,z15","I 6,14,25:b:e,n,z15",,
"I 6,7:-:-","I 6,7:-:-",,
"I 6,7:-:1,5","I 6,7:-:1,5",,
"I 6,7:-:e,n,z15","I 6,7:-:e,n,z15",,
