Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Itami	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,z13"	"1,5"	
Ahmadi	E	"O:1,3,19 (E4)"	"1,3,19"		d	"1,5"	
Lansing	P	O:38 (P)	38		i	"1,5"	
Bradford	B	O:4 (B)	"4,12,[27]"		r	"1,5"	
Ituri	B	O:4 (B)	"1,4,12"		z10	"1,5"	
Limete	B	O:4 (B)	"1,4,12,[27]"		b	"1,5"	
Riogrande	R	O:40 (R) 	40		b	"1,5"	
Berkeley	U	O:43 (U)	43		a	"1,5"	
Toucra	Y	O:48 (Y)1	48		z	"1,5"	[z58]
Garba	H	"O:6,14 (H)"	"1,6,14,25"		a	"1,5"	
Onderstepoort	H	"O:6,14 (H)"	"1,6,14,[25]"		"e,h"	"1,5"	
Colorado	C1	O:7 (C1)	"6,7"		"l,w"	"1,5"	
Brunei	C2-C3	O:8 (C2-C3)	"8,20"		y	"1,5"	
Yovokome	C2-C3	O:8 (C2-C3)	"8,20"		d	"1,5"	
Portland	A/D	O:9 (D1)	"9,12"		z10	"1,5"	
Sendai	A/D	O:9 (D1)	"1,9,12"		a	"1,5"	
II	A/D	O:9 (D1)	"9,12"		z29	"1,5"	
Kasenyi	P	O:38 (P)	38		"e,h"	"1,5"	
Kimberley	P	O:38 (P)	38	"l,v/l,z13"	"l,v"	"1,5"	
Lindi	P	O:38 (P)	38		r	"1,5"	
Mango	P	O:38 (P)	38		k	"1,5"	
Sheffield	P	O:38 (P)	38		c	"1,5"	
Willamette	P	O:38 (P)	38		d	"1,5"	
Champaign	Q	O:39 (Q)	39		k	"1,5"	[z48]
Hofit	Q	O:39 (Q)	39		i	"1,5"	
II	Q	O:39 (Q)	39	"l,v/l,z13"	"l,v"	"1,5"	
Logone	Q	O:39 (Q)	39		d	"1,5"	
Mara	Q	O:39 (Q)	39		"e,h"	"1,5"	
Windermere	Q	O:39 (Q)	39		y	"1,5"	
Azteca	B	O:4 (B)	"4,[5],12,[27]"	"l,v/l,z13"	"l,v"	"1,5"	
Eppendorf	B	O:4 (B)	"1,4,12,[27]"		d	"1,5"	
Hessarek	B	O:4 (B)	"4,12,[27]"		a	"1,5"	
II	B	O:4 (B)	"4,12"		b	"1,5"	
II	B	O:4 (B)	"1,4,12,27"		z	"1,5"	
Lagos	B	O:4 (B)	"1,4,[5],12"		i	"1,5"	
Legon	B	O:4 (B)	"1,4,12,[27]"		c	"1,5"	
Massenya	B	O:4 (B)	"1,4,12,27"		k	"1,5"	
Mono	B	O:4 (B)	"4,12"		"l,w"	"1,5"	
Pasing	B	O:4 (B)	"4,12"		z35	"1,5"	
Trachau	B	O:4 (B)	"4,12,27"		y	"1,5"	
Tyresoe	B	O:4 (B)	"1,4,12,[27]"		"l,[z13],z28"	"1,5"	
Bukavu	R	O:40 (R) 	"1,40"		"l,z28"	"1,5"	
Driffield	R	O:40 (R) 	"1,40"		d	"1,5"	
Goulfey	R	O:40 (R) 	"1,40"		k	"1,5"	
II	R	O:40 (R) 	"1,40"		"l,z28"	"1,5"	z42
II	R	O:40 (R) 	"1,40"		z	"1,5"	
II	R	O:40 (R) 	"1,40"		z6	"1,5"	
II	R	O:40 (R) 	"1,40"		z39	"1,5"	z42
Odienne	R	O:40 (R) 	40		y	"1,5"	
Shikmonah	R	O:40 (R) 	40		a	"1,5"	
Egusi	S	O:41 (S)	41		d	"1,5"	
II	S	O:41 (S)	41		b	"1,5"	
II	S	O:41 (S)	41		z	"1,5"	
Ipswich	S	O:41 (S)	41		"z4,z24"	"1,5"	
Leipzig	S	O:41 (S)	41		z10	"1,5"	
Lubumbashi	S	O:41 (S)	41		r	"1,5"	
Samaru	S	O:41 (S)	41		i	"1,5"	
II	T	O:42 (T)	42		b	"1,5"	
II	T	O:42 (T)	42		z	"1,5"	
IIIb	T	O:42 (T)	42		z57	"1,5"	
Adana	U	O:43 (U)	43		z10	"1,5"	
Ahuza	U	O:43 (U)	43		k	"1,5"	
II	U	O:43 (U)	43		a	"1,5"	
II	U	O:43 (U)	43		"l,z13,z28"	"1,5"	
II	U	O:43 (U)	43		z	"1,5"	
Montreal	U	O:43 (U)	43		c	"1,5"	
Ogbete	U	O:43 (U)	43		z	"1,5"	
Orleans	U	O:43 (U)	43		d	"1,5"	
Albertbanjul	V	O:44 (V)	44		r	"1,5"	
Bobo	V	O:44 (V)	44		d	"1,5"	
Brackenridge	V	O:44 (V)	44		z	"1,5"	
IIIb	V	O:44 (V)	"1,44"	"g,s,t/g,t"	"g,t"	"1,5"	z42
Madigan	V	O:44 (V)	44		c	"1,5"	
Malika	V	O:44 (V)	44		"l,z28"	"1,5"	
Niakhar	V	O:44 (V)	44		a	"1,5"	
II	W	O:45 (W)	45		"g,m,s,t"	"1,5"	
II	W	O:45 (W)	45	mt/mptu	"m,t"	"1,5"	
II	W	O:45 (W)	45		z	"1,5"	
II	W	O:45 (W)	45		z29	"1,5"	
Lattenkamp	W	O:45 (W)	45		z35	"1,5"	
Riverside	W	O:45 (W)	45		b	"1,5"	
Verviers	W	O:45 (W)	45		k	"1,5"	
Bootle	X	O:47 (X)	47		k	"1,5"	
II	X	O:47 (X)	47		a	"1,5"	
II	X	O:47 (X)	47		b	"1,5"	
II	X	O:47 (X)	47		d	"1,5"	
IIIb	X	O:47 (X)	47		z52	"1,5"	z54
Mountpleasant	X	O:47 (X)	47		z	"1,5"	
Australia	Y	O:48 (Y)1	48	"l,v/l,z13"	"l,v"	"1,5"	
Fitzroy	Y	O:48 (Y)1	48		"e,h"	"1,5"	
II	Y	O:48 (Y)1	48		z	"1,5"	
VI	Y	O:48 (Y)1	48		z10	"1,5"	
Hemingford	Z	O:50 (Z)	50		d	"1,5"	[z82]
Antsalova		O:51	51		z	"1,5"	
Bergues		O:51	51		z10	"1,5"	
Gokul		O:51	"1,51"		d	"1,5"	
Kabete		O:51	51		i	"1,5"	
Karaya		O:51	51		b	"1,5"	
Moundou		O:51	51		"l,z28"	"1,5"	
Bordeaux		O:52	52		k	"1,5"	
Marsabit		O:52	52		"l,w"	"1,5"	
Molesey		O:52	52		b	"1,5"	
Uithof		O:52	52		a	"1,5"	
Utrecht		O:52	52		d	"1,5"	
II		O:53	53		d	"1,5"	
II		O:53	53		z	"1,5"	
II		O:53	53		c	"1,5"	[R1É]
IV	T	O:42 (T)	"1,42"		"g,z51"	"1,5"	
Czernyring		O:54	54		r	"1,5"	
Ochsenwerder		O:54	"6,7,54"		k	"1,5"	
Steinwerder		O:54	"3,15,54"		y	"1,5"	
Winnipeg		O:54	54		"e,h"	"1,5"	
II		O:57	57		d	"1,5"	
II	58	O:58	58		b	"1,5"	
II	58	O:58	58		"l,z13,z28"	"1,5"	
Arapahoe	H	"O:6,14 (H)"	"6,14"		"z4,z23"	"1,5"	
Bahrenfeld	H	"O:6,14 (H)"	"6,14,[24]"		"e,h"	"1,5"	
Blijdorp	H	"O:6,14 (H)"	"1,6,14,25"		c	"1,5"	
Finkenwerder	H	"O:6,14 (H)"	"[1],6,14,[25]"		d	"1,5"	
Harburg	H	"O:6,14 (H)"	"[1],6,14,[25]"		k	"1,5"	
Homosassa	H	"O:6,14 (H)"	"1,6,14,25"		z	"1,5"	
II	H	"O:6,14 (H)"	"1,6,14"	mt/mptu	"m,t"	"1,5"	
II	H	"O:6,14 (H)"	"1,6,14"		z10	"1,5"	
Istoria	H	"O:6,14 (H)"	"1,6,14,25"	"r,i/r,[i]"	"r,i"	"1,5"	
Kuntair	H	"O:6,14 (H)"	"1,6,14,25"		b	"1,5"	
Mampeza	H	"O:6,14 (H)"	"1,6,14,25"		i	"1,5"	
Martonos	H	"O:6,14 (H)"	"6,14,24"		d	"1,5"	
Potosi	H	"O:6,14 (H)"	"6,14"		z36	"1,5"	
VI	H	"O:6,14 (H)"	"[1],6,14"		a	"1,5"	
IIIa	C1	O:7 (C1)	"6,7"		"g,z51"	"1,5"	
IIIa	A/D	O:9 (D1)	"9,12"		"g,z51"	"1,5"	
II	C1	O:7 (C1)	"6,7,14"		a	"1,5"	
II	C1	O:7 (C1)	"6,7"		"(g),m,[s],t"	"1,5"	
II	C1	O:7 (C1)	"6,7"		"l,z28"	"1,5"	[z42]
II	C1	O:7 (C1)	"6,7"		z	"1,5"	
Inganda	C1	O:7 (C1)	"6,7"		z10	"1,5"	
Lomita	C1	O:7 (C1)	"6,7"		"e,h"	"1,5"	
Obogu	C1	O:7 (C1)	"6,7"		"z4,z23"	"1,5"	
Oritamerin	C1	O:7 (C1)	"6,7"		i	"1,5"	
Poitiers	C1	O:7 (C1)	"6,7"		z	"1,5"	
Sanjuan	C1	O:7 (C1)	"6,7"		a	"1,5"	
Typhisuis	C1	O:7 (C1)	"6,7"		c	"1,5"	
Bargny	C2-C3	O:8 (C2-C3)	"8,20"		i	"1,5"	
Doncaster	C2-C3	O:8 (C2-C3)	"6,8"		a	"1,5"	
Ferruch	C2-C3	O:8 (C2-C3)	8		"e,h"	"1,5"	
Gaillac	C2-C3	O:8 (C2-C3)	"8,20"		c	"1,5"	
Hiduddify	C2-C3	O:8 (C2-C3)	"6,8"		"l,z13,z28"	"1,5"	
Hindmarsh	C2-C3	O:8 (C2-C3)	"8,20"		r	"1,5"	
II	C2-C3	O:8 (C2-C3)	"6,8"		b	"1,5"	
II	C2-C3	O:8 (C2-C3)	"6,8"	mt/mptu	"m,t"	"1,5"	
II	C2-C3	O:8 (C2-C3)	"6,8"		z	"1,5"	
II	C2-C3	O:8 (C2-C3)	"6,8"		z29	"1,5"	
Korbol	C2-C3	O:8 (C2-C3)	"8,20"		b	"1,5"	
Loanda	C2-C3	O:8 (C2-C3)	"6,8"	"l,v/l,z13"	"l,v"	"1,5"	
Mapo	C2-C3	O:8 (C2-C3)	"6,8"		z10	"1,5"	
Mowanjum	C2-C3	O:8 (C2-C3)	"6,8"		z	"1,5"	
Nagoya	C2-C3	O:8 (C2-C3)	"6,8"		b	"1,5"	
Paris	C2-C3	O:8 (C2-C3)	"8,20"		z10	"1,5"	
Tananarive	C2-C3	O:8 (C2-C3)	"6,8"		y	"1,5"	
Utah	C2-C3	O:8 (C2-C3)	"6,8"		c	"1,5"	
Claibornei	A/D	O:9 (D1)	"1,9,12"		k	"1,5"	
Frintrop	A/D	O:9 (D1)	"1,9,12"		b	"1,5"	
Goeteborg	A/D	O:9 (D1)	"9,12"		c	"1,5"	
Houston	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,v"	"1,5"	d
II	A/D	O:9 (D1)	"9,12"		a	"1,5"	
II	A/D	O:9 (D1)	"1,9,12"	mt/mptu	"m,t"	"1,5"	
II	A/D	O:9 (D1)	"9,12"		"l,z28"	"1,5"	z42
Jamaica	A/D	O:9 (D1)	"9,12"		r	"1,5"	
Lawndale	A/D	O:9 (D1)	"1,9,12"		z	"1,5"	
Ndolo	A/D	O:9 (D1)	"1,9,12"		d	"1,5"	
Ottawa	A/D	O:9 (D1)	"1,9,12"		z41	"1,5"	
Seremban	A/D	O:9 (D1)	"9,12"		i	"1,5"	
Victoria	A/D	O:9 (D1)	"1,9,12"		"l,w"	"1,5"	
Cheltenham	A/D	"O:9,46 (D2)"	"9,46"		b	"1,5"	
Cochin	A/D	"O:9,46 (D2)"	"9,46"		k	"1,5"	
Hillegersberg	A/D	"O:9,46 (D2)"	"9,46"		z35	"1,5"	
II	A/D	"O:9,46 (D2)"	"9,46"		z	"1,5"	
India	A/D	"O:9,46 (D2)"	"9,46"	"l,v/l,z13"	"l,v"	"1,5"	
Ontario	A/D	"O:9,46 (D2)"	"9,46"		d	"1,5"	
Waedenswil	A/D	"O:9,46 (D2)"	"9,46"		"e,h"	"1,5"	
II	A/D	"O:9,46,27 (D3)"	"1,9,12,46,27"		"z4,z24"	"1,5"	
II	A/D	"O:9,46,27 (D3)"	"1,9,12,46,27"		z10	"1,5"	
IIIb	Y	O:48 (Y)1	48		k	"1,5,(7)"	
IIIb	Y	O:48 (Y)1	48	"l,v/l,z13"	"l,v"	"1,5,(7)"	"[z47],[z50],[z89]"
IIIb	Z	O:50 (Z)	50		r	"1,5,(7)"	
IIIb		O:53	53		z	"1,5,(7)"	
IIIb	61	O:61	61		c	"1,5,(7)"	
IIIb	61	O:61	61		k	"1,5,(7)"	
IIIb		O:60	60		z52	"1,5,[7]"	
II	G	O:13 (G)	"1,13,23"		z39	"1,5,7"	
IIIb	G	O:13 (G)	"13,22"	"l,v/l,z13"	"l,v"	"1,5,7"	
IIIb	I	O:16 (l)	16	"l,v/l,z13"	"l,v"	"1,5,7"	
IIIb	L	O:21 (L)	21		i	"1,5,7"	
IIIb	O	O:35 (O)	35	"l,v/l,z13"	"l,v"	"1,5,7"	
IIIb	O	O:35 (O)	35		z52	"1,5,7"	
IIIb	P	O:38 (P)	38		(k)	"1,5,7"	
IIIb	61	O:61	61	"l,v/l,z13"	"l,v"	"1,5,7"	[z57]
IIIb	P	O:38 (P)	38		r	"1,5,7"	
IIIb	R	O:40 (R) 	40		i	"1,5,7"	
IIIb	T	O:42 (T)	42	"l,v/l,z13"	"l,v"	"1,5,7"	[z76]
IIIb	X	O:47 (X)	47		c	"1,5,7"	
IIIb	X	O:47 (X)	47		k	"1,5,7"	
IIIb	X	O:47 (X)	47		r	"1,5,7"	
IIIb	X	O:47 (X)	47		z10	"1,5,7"	
IIIb	X	O:47 (X)	47		z52	"1,5,7"	
Hisingen	Y	O:48 (Y)1	48		a	"1,5,7"	
IIIb	Y	O:48 (Y)1	48		"l,w"	"1,5,7"	[z50]
IIIb	Y	O:48 (Y)1	48		z	"1,5,7"	
IIIb	Z	O:50 (Z)	50		i	"1,5,7"	
IIIb	Z	O:50 (Z)	50		k	"1,5,7"	
IIIb	Z	O:50 (Z)	50		z52	"1,5,7"	
II		O:52	52		z39	"1,5,7"	
II		O:52	52		z44	"1,5,7"	
IIIb	61	O:61	61		r	"1,5,7"	
IIIb	61	O:61	61		z52	"1,5,7"	
IIIb		O:65	65		c	"1,5,7"	
II	C1	O:7 (C1)	"6,7"		"l,w"	"1,5,7"	
II	C1	O:7 (C1)	"6,7"		z39	"1,5,7"	
IIIb	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"1,5,7"	
II	A/D	"O:9,46 (D2)"	"9,46"		"e,n,x"	"1,5,7"	
Poona	G	O:13 (G)	"1,13,22"		z	"1,6"	"[z44],[z59]"
Anatum	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		"e,h"	"1,6"	[z64]
London	E	"O:3,10 (E1)"	"3,{10}{15}"	"l,v/l,z13"	"l,v"	"1,6"	
Adjame	G	O:13 (G)	"13,23"		r	"1,6"	
Farmsen	G	O:13 (G)	"13,23"		z	"1,6"	
Chichester	E	"O:1,3,19 (E4)"	"1,3,19"		i	"1,6"	
Hayindogo	E	"O:1,3,19 (E4)"	"1,3,19"		"e,h"	"1,6"	
Kainji	E	"O:1,3,19 (E4)"	"1,3,19"		z	"1,6"	
Visby	E	"O:1,3,19 (E4)"	"1,3,19"		b	"1,6"	
Winterthur	E	"O:1,3,19 (E4)"	"1,3,19"	"l,v/l,z13"	"l,z13"	"1,6"	
Adamstua	F	O:11 (F)	11		"e,h"	"1,6"	
Brindisi	F	O:11 (F)	11		c	"1,6"	
Heerlen	F	O:11 (F)	11		i	"1,6"	
Massilia	F	O:11 (F)	11		a	"1,6"	
Remete	F	O:11 (F)	11		"z4,z23"	"1,6"	
Sharon	F	O:11 (F)	11		k	"1,6"	
Wohlen	F	O:11 (F)	11		b	"1,6"	
Borbeck	G	O:13 (G)	"13,22"	"l,v/l,z13"	"l,v"	"1,6"	
Bracknell	G	O:13 (G)	"13,23"		b	"1,6"	
Friedenau	G	O:13 (G)	"13,22"		d	"1,6"	
II	G	O:13 (G)	"13,23"		-	"1,6"	
Mampong	G	O:13 (G)	"13,22"		z35	"1,6"	
Mim	G	O:13 (G)	"13,22"		a	"1,6"	
Oudwijk	G	O:13 (G)	"13,22"		b	"1,6"	
Picpus	G	O:13 (G)	"13,23"		z35	"1,6"	
Tanger	G	O:13 (G)	"1,13,22"		y	"1,6"	
Agbara	I	O:16 (l)	16		i	"1,6"	
Akuafo	I	O:16 (l)	16		y	"1,6"	
Amunigun	I	O:16 (l)	16		a	"1,6"	
Astridplein	I	O:16 (l)	16		"e,h"	"1,6"	
Battle	I	O:16 (l)	16		"l,z13,z28"	"1,6"	
Fortlamy	I	O:16 (l)	16		z	"1,6"	
Gafsa	I	O:16 (l)	16		c	"1,6"	
Glasgow	I	O:16 (l)	16		b	"1,6"	
II	I	O:16 (l)	16		"e,n,x"	"1,6"	z42
II	I	O:16 (l)	16		z6	"1,6"	
II	I	O:16 (l)	16		z42	"1,6"	
Ivory	I	O:16 (l)	16		r	"1,6"	
Lisboa	I	O:16 (l)	16		z10	"1,6"	
Maumee	I	O:16 (l)	16		k	"1,6"	
Shanghai	I	O:16 (l)	16	"l,v/l,z13"	"l,v"	"1,6"	[z45]
Sherbrooke	I	O:16 (l)	16		d	"1,6"	
Trier	I	O:16 (l)	16		z35	"1,6"	
Westeinde	I	O:16 (l)	16		"l,w"	"1,6"	
Aachen	J	O:17 (J)	17		z35	"1,6"	
Bandim	J	O:17 (J)	17		k	"1,6"	
Dingiri	J	O:17 (J)	17		z	"1,6"	
II	J	O:17 (J)	17		"e,n,x,z15"	"1,6"	
Victoriaborg	J	O:17 (J)	17		c	"1,6"	
Cotia	K	O:18 (K)	18		-	"1,6"	
Ghana	L	O:21 (L)	21		b	"1,6"	
Hydra	L	O:21 (L)	21		c	"1,6"	
Adamstown	M	O:28 (M)	28		k	"1,6"	
Ashanti	M	O:28 (M)	28		b	"1,6"	
Bassadji	M	O:28 (M)	28		r	"1,6"	
Dakar	M	O:28 (M)	28		a	"1,6"	
Doel	M	O:28 (M)	28		z	"1,6"	
Eberswalde	M	O:28 (M)	28		c	"1,6"	
Hatfield	M	O:28 (M)	28		d	"1,6"	
Konolfingen	M	O:28 (M)	28		z35	"1,6"	
Libreville	M	O:28 (M)	28		z10	"1,6"	
Morillons	M	O:28 (M)	28	mt/mptu	"m,t"	"1,6"	
Ramsey	M	O:28 (M)	28		"l,w"	"1,6"	
Teltow	M	O:28 (M)	28		"z4,z23"	"1,6"	
Volkmarsdorf	M	O:28 (M)	28		i	"1,6"	
Yardley	M	O:28 (M)	28		"g,m"	"1,6"	
Albertslund	E	"O:3,10 (E1)"	"3,10"		z38	"1,6"	
Allerton	E	"O:3,10 (E1)"	"3,10"		b	"1,6"	
Dumfries	E	"O:3,10 (E1)"	"3,10"	"r,i/r,[i]"	"r,i"	"1,6"	
Harleystreet	E	"O:3,10 (E1)"	"3,10"		z	"1,6"	
Harrisonburg	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		z10	"1,6"	
Ikayi	E	"O:3,10 (E1)"	"3,{10}{15}"		c	"1,6"	
Lekke	E	"O:3,10 (E1)"	"3,10"		d	"1,6"	
Ratchaburi	E	"O:3,10 (E1)"	"3,10"		z35	"1,6"	
Tibati	E	"O:3,10 (E1)"	"3,10"		i	"1,6"	
Aqua	N	O:30 (N)	30		k	"1,6"	
II	N	O:30 (N)	30		z6	"1,6"	
Kokoli	N	O:30 (N)	30		z35	"1,6"	
Ockenheim	N	O:30 (N)	30		"l,z13,z28"	"1,6"	
Quincy	N	O:30 (N)	30		r	"1,6"	
Steinplatz	N	O:30 (N)	30		y	"1,6"	
Colombo	P	O:38 (P)	38		y	"1,6"	
Emmastad	P	O:38 (P)	38		r	"1,6"	
Daytona	C1	O:7 (C1)	"6,7"		k	"1,6"	
Inverness	P	O:38 (P)	38		k	"1,6"	
Norwich	C1	O:7 (C1)	"6,7"		"e,h"	"1,6"	
Agama	B	O:4 (B)	"4,12"		i	"1,6"	
Mkamba	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"1,6"	
Goverdhan	A/D	O:9 (D1)	"9,12"		k	"1,6"	
Canada	B	O:4 (B)	"4,12,[27]"		b	"1,6"	
Clackamas	B	O:4 (B)	"4,12"	"l,v/l,z13"	"l,v"	"1,6"	
Eko	B	O:4 (B)	"4,12"		"e,h"	"1,6"	
Dugbe	W	O:45 (W)	45		d	"1,6"	
Birkenhead	C1	O:7 (C1)	"6,7"		c	"1,6"	
Bida	E	"O:1,3,19 (E4)"	"1,3,19"		c	"1,6"	
Kidderminster	P	O:38 (P)	38		c	"1,6"	[z58]
Abortusovis	B	O:4 (B)	"4,12"		c	"1,6"	
Brezany	B	O:4 (B)	"1,4,12,27"		d	"1,6"	
Finaghy	B	O:4 (B)	"4,12"		y	"1,6"	
Haduna	B	O:4 (B)	"4,12"		"l,z13,[z28]"	"1,6"	
II	B	O:4 (B)	"1,4,12,27"		k	"1,6"	
Loubomo	B	O:4 (B)	"4,12"		z	"1,6"	
Neumuenster	B	O:4 (B)	"1,4,12,27"		k	"1,6"	
Togo	B	O:4 (B)	"4,12"		"l,w"	"1,6"	
Tudu	B	O:4 (B)	"4,12"		z10	"1,6"	
Winneba	B	O:4 (B)	"4,12"		r	"1,6"	
Allandale	R	O:40 (R) 	"1,40"		k	"1,6"	
Canary	R	O:40 (R) 	40	"l,v/l,z13"	"l,v"	"1,6"	
II	R	O:40 (R) 	"1,40"		"e,n,x,z15"	"1,6"	
II	R	O:40 (R) 	"1,40"		z39	"1,6"	
II	R	O:40 (R) 	"1,40"		z42	"1,6"	
IIIb	R	O:40 (R) 	40		z39	"1,6"	
Santhiaba	R	O:40 (R) 	40		"l,z28"	"1,6"	
Ahoutoue	S	O:41 (S)	41		z35	"1,6"	
Ferlo	S	O:41 (S)	41		k	"1,6"	
II	S	O:41 (S)	41		k	"1,6"	
II	S	O:41 (S)	41		-	"1,6"	
Landala	S	O:41 (S)	41		z10	"1,6"	
Leatherhead	S	O:41 (S)	41	mt/mptu	"m,t"	"1,6"	
Sally	S	O:41 (S)	41		z	"1,6"	
Vaugirard	S	O:41 (S)	41		b	"1,6"	
Verona	S	O:41 (S)	41		i	"1,6"	
Borromea	T	O:42 (T)	42		i	"1,6"	
Gera	T	O:42 (T)	"1,42"		"z4,z23"	"1,6"	
Haferbreite	T	O:42 (T)	42		k	"1,6"	
II	T	O:42 (T)	42		"e,n,x"	"1,6"	
II	T	O:42 (T)	42		z6	"1,6"	
Kahla	T	O:42 (T)	"1,42"		z35	"1,6"	
Orbe	T	O:42 (T)	42		b	"1,6"	
Ursenbach	T	O:42 (T)	"1,42"		z	"1,6"	
Ahepe	U	O:43 (U)	43		z35	"1,6"	
II	U	O:43 (U)	43		"e,n,x,z15"	"1,6"	
II	V	O:44 (V)	"1,44"		"e,n,x"	"1,6"	
Shahalam	V	O:44 (V)	44		b	"1,6"	
Dahomey	X	O:47 (X)	47		k	"1,6"	[z58]
Fehrbellin	X	O:47 (X)	47		"z4,z23"	"1,6"	
II	X	O:47 (X)	47		"e,n,x,z15"	"1,6"	
II	X	O:47 (X)	47		z6	"1,6"	
Kaolack	X	O:47 (X)	47		z	"1,6"	
Kodjovi	X	O:47 (X)	47		c	"1,6"	[z78]
Moualine	X	O:47 (X)	47		y	"1,6"	
II	Y	O:48 (Y)1	48		z10	"1,6"	
Dougi	Z	O:50 (Z)	50		y	"1,6"	
Treforest		O:51	"1,51"		z	"1,6"	
Butare		O:52	52		"e,h"	"1,6"	
Leda		O:53	53		-	"1,6"	
Rossleben		O:54	"3,54"		"e,h"	"1,6"	
II		O:57	57		z42	"1,6"	z53
II	58	O:58	58		z6	"1,6"	
II	58	O:58	58		z10	"1,6"	
II	H	"O:6,14 (H)"	"6,14,[24]"		k	"1,6"	
II	H	"O:6,14 (H)"	"1,6,14"		z42	"1,6"	
Kanifing	H	"O:6,14 (H)"	"1,6,14,25"		z	"1,6"	
Kassberg	H	"O:6,14 (H)"	"1,6,14,25"		c	"1,6"	
Laredo	H	"O:6,14 (H)"	"1,6,14,25"		z10	"1,6"	
Magumeri	H	"O:6,14 (H)"	"1,6,14,25"		"e,h"	"1,6"	
Woodhull	H	"O:6,14 (H)"	"1,6,14,25"		d	"1,6"	
II		O:65	65		-	"1,6"	
Adime	C1	O:7 (C1)	"6,7"		b	"1,6"	
Eschweiler	C1	O:7 (C1)	"6,7"		z10	"1,6"	
Garoli	C1	O:7 (C1)	"6,7"		i	"1,6"	
II	C1	O:7 (C1)	"6,7"		"e,n,x"	"1,6"	z42
II	C1	O:7 (C1)	"6,7"		-	"1,6"	
Kastrup	C1	O:7 (C1)	"6,7"		"e,n,z15"	"1,6"	
Kivu	C1	O:7 (C1)	"6,7"		d	"1,6"	
Nigeria	C1	O:7 (C1)	"6,7"		r	"1,6"	
Oyonnax	C1	O:7 (C1)	"6,7"		y	"1,6"	
Planckendael	C1	O:7 (C1)	"6,7"		"z4,z23"	"1,6"	
Tienba	C1	O:7 (C1)	"6,7"		z35	"1,6"	
Umhlali	C1	O:7 (C1)	"6,7"		a	"1,6"	
Winston	C1	O:7 (C1)	"6,7"	mt/mptu	"m,t"	"1,6"	
Amherstiana	C2-C3	O:8 (C2-C3)	8	"l,v/l,z13"	"l,v"	"1,6"	
Bronx	C2-C3	O:8 (C2-C3)	"6,8"		c	"1,6"	
Bulgaria	C2-C3	O:8 (C2-C3)	"6,8"		y	"1,6"	
Cremieu	C2-C3	O:8 (C2-C3)	"6,8"		"e,h"	"1,6"	[R1É]
Curacao	C2-C3	O:8 (C2-C3)	"6,8"		a	"1,6"	
II	C2-C3	O:8 (C2-C3)	"6,8"		y	"1,6"	z42
Stourbridge	C2-C3	O:8 (C2-C3)	"6,8"		b	"1,6"	
Warnow	C2-C3	O:8 (C2-C3)	"6,8"		i	"1,6"	
II	A/D	O:9 (D1)	"9,12"		"e,n,x"	"1,6"	
Ipeko	A/D	O:9 (D1)	"9,12"		c	"1,6"	
Kimpese	A/D	O:9 (D1)	"9,12"		z	"1,6"	
Kotu	A/D	O:9 (D1)	"9,12"		"l,z28"	"1,6"	
Os	A/D	O:9 (D1)	"9,12"		a	"1,6"	
Tarshyne	A/D	O:9 (D1)	"9,12"		d	"1,6"	
Clontarf	A/D	"O:9,46 (D2)"	"9,46"		k	"1,6"	
Geraldton	A/D	"O:9,46 (D2)"	"9,46"	"l,v/l,z13"	"l,v"	"1,6"	
Quentin	A/D	"O:9,46 (D2)"	"9,46"		d	"1,6"	
Zadar	A/D	"O:9,46 (D2)"	"9,46"		b	"1,6"	
Oakland	C1	O:7 (C1)	"6,7"		z	"1,6,[7]"	
Give	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"	"l,v/l,z13"	"l,v"	"1,7"	"[d],[z77]"
Pomona	M	O:28 (M)	28		y	"1,7"	"[z80],[z90]"
Gaminara	I	O:16 (l)	16		d	"1,7"	
Grumpensis	G	O:13 (G)	"1,13,23"		d	"1,7"	
Oxford	E	"O:3,10 (E1)"	"3,{10}{15}{15,34}"		a	"1,7"	
Ikeja	M	O:28 (M)	28		k	"1,7"	
Juba	E	"O:1,3,19 (E4)"	"1,3,19"		a	"1,7"	
Lerum	E	"O:1,3,19 (E4)"	"1,3,19"		z	"1,7"	
Madiago	E	"O:1,3,19 (E4)"	"1,3,19"		c	"1,7"	
Parkroyal	E	"O:1,3,19 (E4)"	"1,3,19"	"l,v/l,z13"	"l,v"	"1,7"	
Petahtikve	E	"O:1,3,19 (E4)"	"1,3,19"		"f,g,t"	"1,7"	
Sanktmarx	E	"O:1,3,19 (E4)"	"1,3,19"		"e,h"	"1,7"	
Thies	E	"O:1,3,19 (E4)"	"1,3,19"		y	"1,7"	
Tomelilla	E	"O:1,3,19 (E4)"	"1,3,19"		"l,z28"	"1,7"	
Wanatah	E	"O:1,3,19 (E4)"	"1,3,19"		d	"1,7"	
