Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Weslaco	T	O:42 (T)	42		z36	-	
II	U	O:43 (U)	43		"z4,z23"	-	
IIIa	W	O:45 (W)	45		"g,z51"	-	
IIIa	U	O:43 (U)	43		"z4,z23"	-	
IIIa	U	O:43 (U)	43		"z4,z24"	-	
IIIa	U	O:43 (U)	43		z29	-	
IIIa	U	O:43 (U)	43		z36	-	
Irigny	U	O:43 (U)	43		z38	-	
IV	W	O:45 (W)	45		"g,z51"	-	
IV	U	O:43 (U)	43		"z4,z23"	-	
IV	U	O:43 (U)	43		"z4,z24"	-	
IV	U	O:43 (U)	43		"z4,z32"	-	
IV	U	O:43 (U)	43		z29	-	
IV	U	O:43 (U)	43		"z36,z38"	-	
Makiling	U	O:43 (U)	43		z29	-	
Niederoderwitz	U	O:43 (U)	43		b	-	
Sudan	U	O:43 (U)	43	"l,v/l,z13"	"l,z13"	-	
Carswell	X	O:47 (X)	47		"g,z51"	-	
Christiansborg	V	O:44 (V)	44		"z4,z24"	-	
II	V	O:44 (V)	44		"z4,z23"	-	
IIIa	V	O:44 (V)	44		"z4,z23"	-	
IIIa	V	O:44 (V)	44		"z4,z23,z32"	-	
IIIa	V	O:44 (V)	44		"z4,z24"	-	
IIIa	V	O:44 (V)	44		"z4,z32"	-	
IV	V	O:44 (V)	44		a	-	
IV	Y	O:48 (Y)1	48		"g,z51"	-	
IV	V	O:44 (V)	44		"z4,z23"	-	
IV	V	O:44 (V)	44		"z4,z24"	-	
IV	V	O:44 (V)	"1,44"		"z4,z32"	-	
IV	V	O:44 (V)	44		z29	-	
IV	V	O:44 (V)	44		"z36,[z38]"	-	
Koketime	V	O:44 (V)	44		z38	-	
Muguga	V	O:44 (V)	44	mt/mptu	"m,t"	-	
V	V	O:44 (V)	44		r	-	
V	V	O:44 (V)	44		z39	-	
Vleuten	V	O:44 (V)	44		"f,g"	-	
Zinder	V	O:44 (V)	44		z29	-	
